_RAJ2000,_DEJ2000,cl,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag
208.556458,14.685022,3,24.721,1.283,25.985,0.595,23.126,0.412,21.772,0.198,20.924,0.323
208.488815,14.655456,6,18.144,0.015,16.563,0.004,16.029,0.003,15.828,0.003,15.731,0.006
208.478011,14.656506,3,22.794,0.636,22.438,0.171,21.358,0.103,20.648,0.109,20.44,0.293
208.475962,14.65863,6,24.378,1.375,23.574,0.346,23.725,0.596,21.636,0.21,21.955,0.733
208.479281,14.65345,3,22.393,0.405,21.977,0.102,20.568,0.047,19.891,0.05,19.722,0.137
208.495831,14.648971,6,25.418,1.052,22.929,0.195,21.618,0.099,20.229,0.059,19.652,0.106
208.475461,14.666493,3,22.897,0.89,22.834,0.319,21.424,0.143,21.287,0.249,22.096,1.423
208.478983,14.661479,3,24.251,1.478,23.08,0.264,22.202,0.195,21.651,0.239,21.156,0.477
208.484269,14.654514,3,26.208,0.644,23.94,0.492,21.818,0.129,21.054,0.132,20.971,0.378
208.488805,14.655435,6,18.1,0.013,16.593,0.004,16.04,0.003,15.841,0.004,15.767,0.006
208.475475,14.666483,3,22.677,0.502,22.757,0.218,21.75,0.147,21.339,0.163,20.74,0.326
208.475948,14.656923,3,24.661,1.363,22.722,0.19,22.129,0.187,22.962,0.602,23.387,0.865
208.478028,14.656514,3,23.214,0.708,22.288,0.133,21.308,0.092,20.741,0.088,20.853,0.317
208.47929,14.653421,3,26.191,0.519,22.213,0.106,20.629,0.045,20.097,0.044,19.678,0.1
208.495766,14.648931,6,23.281,0.587,22.613,0.139,21.388,0.08,20.115,0.041,19.375,0.071
208.47589,14.658674,3,24.706,1.007,24.122,0.427,22.497,0.197,21.887,0.18,22.309,0.639
208.479016,14.661519,3,23.578,0.859,23.351,0.303,21.878,0.141,21.455,0.149,21.28,0.425
208.48421,14.654477,3,24.357,1.397,23.437,0.375,21.604,0.123,21.036,0.119,20.471,0.248
208.489189,14.650415,3,21.026,0.179,22.99,0.424,20.983,0.111,20.813,0.155,20.619,0.465
208.491513,14.653745,6,24.227,0.867,24.454,0.477,22.208,0.143,22.452,0.272,21.522,0.369
208.49578,14.648938,6,25.537,0.696,23.008,0.183,21.504,0.075,20.361,0.047,19.765,0.086
208.489081,14.650425,3,23.04,0.966,22.593,0.302,21.339,0.149,21.066,0.194,20.206,0.305
208.479268,14.653412,3,23.555,0.531,22.045,0.08,20.564,0.036,20.063,0.037,19.519,0.074
208.495813,14.648954,6,25.258,0.485,22.945,0.128,21.448,0.056,20.357,0.034,19.626,0.061
208.489209,14.65047,3,23.324,1.146,22.443,0.278,21.059,0.133,20.665,0.155,21.249,0.855
208.488094,14.677417,6,18.883,0.023,17.938,0.006,17.693,0.006,17.609,0.008,17.581,0.02
208.491173,14.677279,3,23.063,0.747,21.128,0.052,19.795,0.026,19.293,0.031,18.795,0.064
208.504001,14.66455,6,22.243,0.308,19.203,0.011,17.827,0.006,16.979,0.005,16.521,0.01
208.504614,14.683822,3,20.312,0.11,18.847,0.013,18.113,0.01,17.717,0.013,17.44,0.034
208.505228,14.681421,6,22.241,0.329,21.097,0.044,20.86,0.055,20.731,0.096,21.175,0.426
208.483308,14.670225,3,23.177,0.778,22.342,0.14,22.198,0.196,21.798,0.276,21.549,0.655
208.487482,14.664762,3,22.189,0.462,20.16,0.03,19.302,0.022,18.93,0.029,18.559,0.069
208.485681,14.665729,3,21.313,0.241,20.195,0.035,19.448,0.027,19.067,0.036,19.066,0.126
208.487591,14.674567,6,24.109,1.24,22.938,0.203,21.652,0.106,21.049,0.125,20.811,0.304
208.493621,14.671132,6,22.209,0.301,23.041,0.213,23.142,0.366,22.602,0.479,21.134,0.381
208.491879,14.661073,3,21.467,0.222,21.881,0.121,20.722,0.067,20.327,0.091,19.929,0.22
208.495283,14.662093,6,22.155,0.305,22.689,0.168,22.079,0.156,21.817,0.253,21.013,0.375
208.495999,14.686365,6,26.139,0.678,21.879,0.089,20.546,0.044,19.252,0.028,18.521,0.046
208.498315,14.671167,3,23.687,1.155,21.831,0.094,20.581,0.049,20.026,0.059,19.595,0.13
208.500892,14.679639,3,22.912,0.734,22.448,0.184,21.619,0.14,21.487,0.246,20.947,0.492
208.501777,14.658138,6,25.258,1.355,22.547,0.17,21.726,0.13,20.35,0.077,19.744,0.142
208.506338,14.669014,3,21.567,0.214,22.482,0.177,22.013,0.185,22.445,0.539,22.151,1.094
208.510508,14.673415,3,25.095,1.419,22.426,0.151,21.513,0.108,20.859,0.119,21.028,0.439
208.494177,14.658334,6,25.179,1.156,23.219,0.246,21.776,0.112,20.546,0.077,19.842,0.124
208.496732,14.657415,3,26.611,0.617,23.145,0.359,21.856,0.183,22.301,0.543,21.545,0.845
208.498726,14.651789,3,22.137,0.366,22.87,0.252,21.348,0.103,21.083,0.164,20.914,0.449
